label,split,field,n_total,n_nonmissing,missing_rate,mean,p25,p50,p75,min,max
Minecraft,test,year_released,39,39,0.0,2020.6923076923076,2016.5,2022.0,2024.0,2013.0,2026.0
Minecraft,test,current_value_new_eur,39,36,0.07692307692307693,5.961388888888889,2.3049999999999997,3.645,6.255,0.83,47.75
Minecraft,test,current_value_used_eur,39,35,0.10256410256410256,3.5654285714285714,1.625,2.29,4.404999999999999,0.63,21.45
Monkie Kid,train,year,125,125,0.0,2022.376,2021.0,2022.0,2024.0,2020.0,2025.0
Monkie Kid,train,year_released,125,125,0.0,2022.376,2021.0,2022.0,2024.0,2020.0,2025.0
Monkie Kid,train,current_value_new_eur,125,125,0.0,7.57056,3.77,5.1,10.44,1.74,38.48
Monkie Kid,train,current_value_used_eur,125,95,0.24,6.332526315789474,3.08,4.65,8.58,0.77,34.43
Monkie Kid,val,year,27,27,0.0,2021.9259259259259,2021.0,2021.0,2024.0,2020.0,2025.0
Monkie Kid,val,year_released,27,27,0.0,2021.9259259259259,2021.0,2021.0,2024.0,2020.0,2025.0
Monkie Kid,val,current_value_new_eur,27,27,0.0,6.606296296296296,4.005,5.54,6.92,2.53,18.62
Monkie Kid,val,current_value_used_eur,27,19,0.2962962962962963,4.9526315789473685,3.035,3.96,5.965,1.49,16.82
Monkie Kid,test,year,28,28,0.0,2021.8214285714287,2020.75,2022.0,2023.0,2020.0,2024.0
Monkie Kid,test,year_released,28,28,0.0,2021.8214285714287,2020.75,2022.0,2023.0,2020.0,2024.0
Monkie Kid,test,current_value_new_eur,28,28,0.0,8.250714285714286,3.8825000000000003,6.8100000000000005,10.9925,1.96,31.55
Monkie Kid,test,current_value_used_eur,28,24,0.14285714285714285,7.67875,2.5949999999999998,6.234999999999999,9.1525,0.72,29.6
NEXO KNIGHTS,train,year,104,104,0.0,2016.7307692307693,2016.0,2017.0,2017.0,2016.0,2018.0
NEXO KNIGHTS,train,year_released,104,104,0.0,2016.7307692307693,2016.0,2017.0,2017.0,2016.0,2018.0
NEXO KNIGHTS,train,current_value_new_eur,104,104,0.0,9.805673076923076,3.6775,5.37,8.7425,1.58,126.43
NEXO KNIGHTS,train,current_value_used_eur,104,104,0.0,5.689326923076924,2.3475,2.995,5.2325,0.82,61.63
NEXO KNIGHTS,val,year,22,22,0.0,2016.6818181818182,2016.0,2017.0,2017.0,2016.0,2018.0
NEXO KNIGHTS,val,year_released,22,22,0.0,2016.6818181818182,2016.0,2017.0,2017.0,2016.0,2018.0
NEXO KNIGHTS,val,current_value_new_eur,22,22,0.0,6.652727272727273,2.6950000000000003,3.96,6.0175,1.69,54.56
NEXO KNIGHTS,val,current_value_used_eur,22,22,0.0,3.73,1.8924999999999998,2.645,3.39,1.12,24.59
NEXO KNIGHTS,test,year,23,23,0.0,2016.7391304347825,2016.0,2017.0,2017.0,2016.0,2018.0
NEXO KNIGHTS,test,year_released,23,23,0.0,2016.7391304347825,2016.0,2017.0,2017.0,2016.0,2018.0
NEXO KNIGHTS,test,current_value_new_eur,23,23,0.0,6.745217391304347,3.0549999999999997,5.02,7.25,1.96,25.57
NEXO KNIGHTS,test,current_value_used_eur,23,23,0.0,4.369130434782608,2.05,2.71,3.96,1.68,25.23
NINJAGO,train,year,660,660,0.0,2019.5030303030303,2016.0,2020.0,2023.0,2011.0,2026.0
NINJAGO,train,year_released,660,660,0.0,2019.5030303030303,2016.0,2020.0,2023.0,2011.0,2026.0
NINJAGO,train,current_value_new_eur,660,660,0.0,10.303575757575757,3.7249999999999996,5.805,10.365,1.27,168.61
NINJAGO,train,current_value_used_eur,660,618,0.06363636363636363,6.30663430420712,2.4175,3.465,5.96,0.98,86.02
NINJAGO,val,year,141,141,0.0,2019.241134751773,2016.0,2020.0,2022.0,2011.0,2026.0
NINJAGO,val,year_released,141,141,0.0,2019.241134751773,2016.0,2020.0,2022.0,2011.0,2026.0
NINJAGO,val,current_value_new_eur,141,141,0.0,10.875744680851064,3.19,5.23,10.93,2.23,82.19
NINJAGO,val,current_value_used_eur,141,134,0.04964539007092199,7.25365671641791,2.365,3.29,6.2375,1.26,96.54
NINJAGO,test,year,143,143,0.0,2019.1328671328672,2015.0,2019.0,2023.0,2011.0,2026.0
NINJAGO,test,year_released,143,143,0.0,2019.1328671328672,2015.0,2019.0,2023.0,2011.0,2026.0
NINJAGO,test,current_value_new_eur,143,143,0.0,13.303636363636365,4.085,6.66,13.905,2.05,293.0
NINJAGO,test,current_value_used_eur,143,133,0.06993006993006994,8.650451127819549,2.63,4.0,7.51,1.38,302.33
Other,train,year,1798,1798,0.0,2010.9783092324806,2005.0,2014.0,2019.0,1975.0,2026.0
Other,train,year_released,1798,1798,0.0,2010.9783092324806,2005.0,2014.0,2019.0,1975.0,2026.0
Other,train,current_value_new_eur,1798,1692,0.058954393770856504,11.440916075650117,3.24,6.145,11.737499999999999,0.21,842.88
